What degree are you pursuing?,"Please, tell me about yourself. What interest you? Do you have any hobbies?",What do you expect to learn in Information Visualization? How do expect to use what you learn?,How would you rate your Information Visualization skills?,How would you rate your statistical skills?,How would you rate your mathematics skills?,How would you rate your drawing and artistic skills?,How would you rate your computer usage skills?,How would you rate your programming skills?,How would you rate your computer graphics programming skills?,How would you rate your human-computer interaction programming skills?,How would you rate your user experience evaluation skills?
Master in Science,"-Interested in product, especially high-tech product. 
-The major in bachelor is industrial design, which trained my aesthetic and taught me human-centered research.
-Also studied financial engineering as double bachelor degree. Thus be able to do general statistic analysis.
-Really enjoy the life with Internet, electronic devices, sports and music. 
","I hope to gain ability to program for information visualization because I'd like to link it with my future job and it gradually become a indispensable part of internet company.
",5,5,5,7,8,2,3,3,7
Master in Science,"GAMES. I live and breathe games. I attend every possible game jam, AAA tile release, trying my best to follow Nvidia/E3/GDC and hardware development announcement.
Seems like I have a thing for programming languages as well. I can discuss Haskell semantics, why Clojure is excelling in multiple fields but will never become a big thing and my affection for Javascript, who I will defend it in a oo so hateful world.
I'm also that kind of guy who loves his terminal, mechanical keyboard and custom text editor a little bit too much.
Graphics is a newly rediscovered love of mine. Lately I've read up on and practiced physically based rendering and the associated texture workflows. ZBrush <3.","Learn some concepts, techniques and algorithms for information visualization. These learning outcomes could empower me to create more engaging experiences in games and apps, and hopefully uncover some otherwise invisible and valuable facts in the data.",7,4,7,5,10,8,8,9,5
Master in Science,"I am a Chinese girl who like drawing, singing and doing sport (like badminton,swimming and so on). I like to talk with people to know different life experience and attitude, and I sometimes  do personality- analysis of people I meet due to the interest for psychology. But that is all about guess. What's more, I like to learn new and creative things, as well as try new things to get different experience. ","I expect to learn to how to collect the data in an efficient way and how to analyses the result we have got and present the data in an effective, understandable and beautiful way.
I want to use it in my portfolio(personal web) and have it as my skill in further studying related to HCI.",5,6,5,8,8,5,5,6,7
Master in Science,Badminton. Travelling. Shopping.,"I expect to learn how to make complicate information easier for more people to understand. 
Use it to make better presentations. Develop applications that can help people make better presentations.",2,4,6,1,9,8,9,10,1
Master in Science,"I did my Bachelor degree in Computer Science. I have worked for two years as a developer for a company that develops complex web applications. I worked on a few corporate sites, an automatic GUI testing framework and I set up the company's SharePoint-based ticket system. For my bachelor thesis I've developed a software generator that can dynamically generate backend maintenance screens based on a database structure and user input (using .NET, Razor and AngularJS)

In my free time I have several hobbies including (but I'm sure I forget some) climbing, hiking, camping, photography, board games, computer games, reading.","I'm expecting to learn how to analyze data and visualize this data to provide extra/easier insight into the data. This will help users analyzing data or it will make data manipulation easier.

I think this will be very useful in future HCI projects because a good visualization has a very big influence on the user experience. That's why I expect to use what I learn here in almost every project that I will do afterwards.

I also expect to learn a lot from my fellow students coming from different fields. And the competitive environment of the C-awards is also something I'm looking forward to. I think it will motivate me to put even more effort into the project.",8,5,8,4,8,8,8,8,7
Master in Science,"I love moving my body either through team sports, extreme sports or just working out. Though it's a hobby I don't spend much time with lately photography and filmmaking have for a long time been interests of mine, being able to see or envision something and then try to create or capture it.",I hope to gain more tools for visualizing things that might otherwise be hard to understand through intuitive and cool ways.,6,3,5,5,7,2,3,7,4
Master in Science,,"I expect to learn data representation, information design and visual analysis. I expect to use what I learn to expand my repertoire.",3,3,3,2,7,7,3,6,2
Master in Science,"I like both learning and creating. My interests are language, drawing, home decoration and games.",I have a lot of ideas but a difficulty to realize them. So I hope I will learn how to use the right tools and working process.,4,6,5,8,7,5,3,4,5
Master in Science,"I really like discovering new things, being challenged. It's a way for me to overcome my boundaries. 
I like skating, swimming, listening music, watch movies. ","Up to now, I have never worked on project related to information visualisation. I expect to learn different methods and techniques to visualize information because I think that it could be interesting and relevant to have some notions in today's work world. ",3,3,8,7,8,4,6,5,5
Master in Science,"I moved from Gothenburg 5 years ago to study at KTH in Stockholm. 
Besides studies, I have engaged in different side projects such as Next Up Stockholm, Armada and today I’m business manager in a non-profit organization called Womengineer. Our goal is that by year 2030, we want 50% of all graduated engineers in Sweden to be women. This is the far best project i’ve involved in, together with the rest of our members we work hard to reach our goal. 
I am interested in designing, prototyping, creating and evaluating multimedia information to serve different users. I have also a big interest in psychology in the area of trying to understand the users behaviours regarding the use of provided information. I hope that I someday can make people’s everyday life easier than it is today by the help of my technical background studying CS and socio-technical background studying HCI. 
","Throughout this course, i’d really like to get a better understanding and knowledge within user-centered design and visual analysis. From this course I hope that I can take the 5 learning outcomes, especially 2-5, to my future work. 
",5,5,7,7,7,4,4,5,7
Master in Science,"I don't have any particular hobbies, but I like being active within the Media Technology chapter by, for example, playing sports or going to pubs.",Learn more about information visualization systems; how and why are they designed as they are? What makes a good/bad information visualization system? And of course - have fun learning it!,1,2,4,2,5,1,1,1,2
Bachelor in Science,"I am interested in graphics and animations. In general I could say that I like travelling, photography and yoga.",The subject of the course is completely new to me and sounds very interesting. I' ll do my best to learn as more as I can. I expect to enhance my skills in graphics and human computer interaction.,2,2,4,7,8,3,3,3,2
Master in Science,I am crazy about cooking and also love traveling and watching movies.,I expect to learn interesting methods to translate complex and even statistic data into interesting and straightforward pattern.,4,7,7,6,6,4,5,5,5
Master in Science,"Interests
- webdesign
- finance
-languages

Hobbies
-dance
-travelling 
-soccer",An effective way to ingage ones audience and how to display important information in a way that portrays its meaning the most effective. ,4,7,6,6,7,6,1,6,7
Master in Science,Master student in Computer Science with Visualization as orientation.,How to Visualize data Hans Rosling style!,5,2,5,5,10,8,8,7,3
Master in Science,"Photography, Shooting movies, Sketching ","What to learn: 
    How to choose certain patterns to visualize different kinds of data?
    How to measure or compare if the visualize of data reaches target users' satisfaction?
    
How to use:
    May apply it to some data mining or statistic projects in the future studies to visualize the results. 


    

",6,8,8,7,9,6,6,5,8
Master in Science,I've been very fascinated by computer graphics ever since I started playing computer games as a kid. Gaming is still one of my favorite hobbies. I also like to play chess during my spare time as well as enjoying cross-country skiing during the winter season.,Using computer graphics as a tool of presenting information in such ways that it can be nicely interpreted by the users. I see this as an opportunity to add something to my portfolio and also to widen my knowledge within the field of computer graphics and its' areas of application.,7,5,5,3,8,7,7,9,5
Master in Science,"I like the idea of a full-stack developer which is why I started in Computer Science and went on to pursue a masters degree in HCI. Interaction design is my main interest but visualization is a fascinating field.

I like graphic design and have some experience working with it, mainly in the motocross business which is another hobby of mine which I also compete in.",I want to learn the process of taking raw data and creating something insightful and beautiful. I want to learn the common methodology and approaches to different types of visualizations.,7,5,7,7,9,6,5,8,7
Master in Science,"Music and arts have been my passions for as long as I can remember. It is also very important to be in nature. Every year I spend 2 months on an island in Finland where I sail and build things. Furthermore I have a new interest every year. My interests this year is to boulder and do trekking routes. A this moment I'm in Patagonia and have just completed the famous ""W"" route, Torres del Paine. (Don't worry i will be back on Monday!)
I choose to study media technology because of my passion fort art, engineering and my constant search on gaining new knowledge. During my time at KTH I have also gotten interest in design, programming and startups. Everytime I'm in a group project where I have the chance to learn something new, I will take it. ",mastering information visualisation is useful and can be very powerful. Something we have seen that Hans Rosling is very successful at. I expect to get a deeper insight in how to present different types of information. How to present a lot of information in an easy and interesting way. ,7,6,5,7,8,7,4,4,7
Master in Science,,I expect to be able to present and show data/information in a better and more comprehensible way. Hopefully I will also be able learn some kind of visualization skills.,3,6,5,3,7,6,3,3,4
Master in Science,"My name is Juho and I have skills in creative and technical side of designing usable UIs.

I am interested in traveling, nature, technology, public speaking and crafts of all kinds. I am also interested in computer animation(moving images), design and entrepreneurship. 

In a free time I play the guitar and visit places, go trekking and biking. I am interesting in learning to do sculpting. ","I would like to learn to represent and analyze data in visualizations in a meaningful and sophisticated way. I also would like to learn more about user centered process and enrich Graphic Design skills.

I wish that we could use visualization data in the presentations in the future and also add the visualizations to videos and documents. To build top notch online applications and interacting with mobile devices. Something to show: portfolio, building a team for entrepreneurial purposes.",8,6,4,9,8,7,6,7,8
Master in Science,"Hiho!

I am a pretty active guy that likes to test new things in order to really find out who I am and what I enjoy doing. Overall I like games, which ranges from playing video games to play badminton, in which i compete and i´ve been dancing swing for some years. I´m kind of interested in interior design and design overall and i've been spending some time in illustrator and autocad and some other artistic programs and i'm heading in the direction that I want to learn more about web programming and webdesign. ",I expect to learn how do visualize things in more ways than a do now and to get different kinds of perspectives on how other would visualize things and I think i will learn in by getting tips of software's to use and then learn by doing and then compare with the other student. ,6,6,3,9,9,3,1,2,2
Master in Science,,"I expect to become a better programmer by programming more.
Be able to better visualise with the data I've gotten and learn how to properly gather that data in the first place.
What an ideal group actually is.
Learn more about using d3.js.
Learn what types of different visualisations works for. How is the data clearer when presented depending on the information and target group?

It doesn't end with just having data. You also have to know how to use it and that is what I expect to use it for. ",4,3,5,6,7,3,1,1,8
Master in Science,,I expect to get a comprehensive tool set for visualizing complex data in meaningful and beautiful ways. I also expect to get the opportunity to work with interseting people with many different skillsets.,4,5,5,3,8,5,2,3,4
Master in Science,"My name is Jonathan Söderin and I'm 22 years old. I'm the oldest of five brothers and I one of my hobbies are video games. I play both on the PS4, Xbox One and on the PC, I love playing with others since I am a very social person. I also love socializing offline and therefore I have been active in the reception here at media technology where I am studying. 2015 was the third year I was active in the reception and this time I was head of the reception and planned the whole thing together with two others. I love working in projects so this was the perfect opportunity for me to work in a way I love with something I love.","I expect to learn how to effectively show information in a way that makes it easy to understand for others and in a way that has impact. I expect to further develop my coding skills, something I really hope to get out from this course.

I expect that what I learn in this course will be good to use in my future work, (hopefully as a projectleader), but also in general.",4,6,6,4,8,3,1,7,6
Master in Science,"I am quite a creative person and I am very curious. This is why all creative fields interest me and I've tried out most of them. I love drawing and I'd say I'm alright, not an expert but decent. I've been singing since the day I learned how to speak and music is one of my interests. I love working in teams and projects because I am drawn to people and creepily enough like to observe behavioural patterns within groups. In my free time I play a lot of video games and have done that since a young age. When I'm not gaming I read books, lots of them, mostly romatic novels, fantasy and mystery. I really like to work with my hands and especially fix physical things that are broken. There is something satisfactory in screwing in that last screw and knowing it will work. ","I expect to get the tools to be able to, in my future line of work, in an easy and understandable way decribe information, networks etc. for a group of people who are not as familiar with the data as I am. I wish to learn the tools of how data and information should be described/visualized so that trends easily can be observed by others. ",2,4,6,8,6,4,1,3,5
Master in Science,My main hobbies that i do regularly is photography (can't live without photoshop) and handball.  More recently (2 years back) thanks to KTH i have learned that i really love coding and especially the web-aspect of code. ,How to in a practical way visualize information in the best way and also along the way learn about different tools to do so. I hope i can use what I have learned in a portfolio and hopefully it will expand my field in code/art etc.  ,4,2,5,7,10,7,5,6,8
Master in Science,"Programming. 
Play games, both computer and board games.
Making computer games.",How to turn data´that is hard to understand into something easy and intuitive. I also want to make cool shit. ,7,4,5,7,9,4,5,9,4
Master in Science,,I expect to improve my programming skills to create things I am proud of and could show to others. ,3,1,4,5,5,4,2,3,8
